model,image_name,mosz1,mosz2,mosz3,prompt
Glide,024-1.png,1.95901898,2.256600243,1.979441722,"""a tree reflected in the sunroof of a blue car"""
Controlnet,072-4.png,2.916185642,2.767690488,3.128513128,"""two motorcycles facing each other"""
DALLE,072-1.png,2.843526148,2.763240717,2.774907571,"""two motorcycles facing each other"""
Unidiffuser,024-3.png,2.570928411,2.523455268,2.5162295,"""a tree reflected in the sunroof of a blue car"""
Unidiffuser,011-1.png,2.932307497,2.749703452,3.266670093,"""a woman with long hair"""
stable-diffusion,091-2.png,1.702899171,1.901390933,2.028540652,"""a classroom without any students"""
Lafite,005-1.png,1.802074465,1.804411039,1.834625584,"""a green pepper"""
Controlnet,039-2.png,2.694057941,2.564689361,2.388521741,"""a teddy bear on a skateboard in times square"""
Lafite,072-3.png,2.170071933,2.242357243,2.206108969,"""two motorcycles facing each other"""
Glide,007-4.png,2.117392718,2.524018503,2.538320909,"""a kitchen"""
Unidiffuser,043-3.png,2.036866892,2.045841727,1.929943506,"""a sword slicing through a loaf of bread"""
stable-diffusion,050-4.png,2.05671339,2.155759963,2.038302281,"""A photo of a panda made of water."""
Unidiffuser,052-1.png,2.454958347,2.742209862,2.693685824,"""a cartoon of a train going to the moon"""
stable-diffusion,091-4.png,2.963818077,2.720080426,2.825413505,"""a classroom without any students"""
Lafite,036-4.png,1.956312183,2.041407116,2.439639727,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Glide,050-3.png,2.28175432,2.465767864,2.488061499,"""A photo of a panda made of water."""
Unidiffuser,097-2.png,1.798889005,2.040569505,1.974407708,"""a kitchen without a refrigerator"""
Glide,023-4.png,1.919998234,1.961427835,1.960553583,"""a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese"""
Controlnet,077-1.png,2.88227474,2.842955007,2.988613353,"""two pianos next to each other"""
Controlnet,076-2.png,2.870854378,2.885475841,2.147204091,"""three small yellow boxes"""
DALLE,030-2.png,2.622009997,2.229259279,2.578763319,"""a dolphin in an astronaut suit on saturn"""
DALLE,057-2.png,2.601986132,2.848107473,2.838840525,"""an oil painting of a tree and a building"""
Controlnet,087-1.png,3.043030042,2.897758951,3.08384575,"""an aerial view of a dining room"""
stable-diffusion,079-3.png,2.271495601,2.086006626,2.577939545,"""Times Square with thousands of dogs running around"""
Glide,003-1.png,2.331377764,2.879069302,3.109458669,"""a bench"""
Unidiffuser,085-1.png,2.835686915,2.88823619,2.790503364,"""a close-up of an old-fashioned cocktail"""
Controlnet,041-2.png,2.861993473,2.665810995,2.99743432,"""A photo of an astronaut riding a horse in the forest."""
Controlnet,019-3.png,2.550368193,2.352643801,2.523116353,"""a boat in the canals of venice"""
Glide,044-4.png,2.018266159,2.080531608,1.972071619,"""an orange wearing a cowboy hat"""
Unidiffuser,046-4.png,2.261119212,2.251993906,2.161030121,"""a drawing of a series of musical notes wrapped around the Earth"""
Controlnet,067-3.png,2.395850136,2.309792573,2.256604048,"""a yellow wall with 'Hello, world.' written on it"""
stable-diffusion,056-1.png,3.175524208,2.979305891,2.490034193,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
Lafite,052-1.png,1.8729654,2.090448901,2.541483741,"""a cartoon of a train going to the moon"""
Glide,094-4.png,2.084057294,2.220096287,2.294911706,"""a banana without its peel"""
Glide,016-1.png,1.962076673,2.086696114,2.054658123,"""A heart made of chocolate"""
Unidiffuser,056-4.png,2.822584321,2.628773192,2.347632289,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
DALLE,097-3.png,2.48218132,2.798825388,2.401025625,"""a kitchen without a refrigerator"""
Glide,087-3.png,1.897911867,2.347957287,2.287528364,"""an aerial view of a dining room"""
Controlnet,000-1.png,3.008208921,2.362327043,2.999293667,"""a corgi"""
stable-diffusion,095-3.png,2.761882509,2.953949018,1.810080459,"""a plate that has no bananas on it. there is a glass without orange juice next to it."""
Lafite,016-1.png,2.539426598,2.486694647,2.657678215,"""A heart made of chocolate"""
Controlnet,025-3.png,2.752033146,2.658163766,2.440884416,"""a pineapple with one beer to its left and two beers on its right"""
Controlnet,037-3.png,3.077644452,3.294469885,2.872253395,"""A bare kitchen has wood cabinets and white appliances"""
Unidiffuser,023-1.png,2.684744544,2.74685018,2.894041368,"""a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese"""
Lafite,058-4.png,1.961382663,2.247294673,2.361047662,"""a painting of a white country home with a wrap-around porch"""
Controlnet,017-4.png,3.174089639,3.041135413,2.924763461,"""a coffee table with a magazine on it"""
DALLE,006-2.png,2.884413763,2.83336415,2.812639403,"""a book cover"""
Controlnet,080-4.png,2.837680182,2.808373431,2.475723442,"""view of a giraffe and a zebra in the middle of a field"""
Glide,027-3.png,1.967900447,2.336831939,2.238950808,"""A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table"""
Unidiffuser,062-4.png,2.344221603,2.087837006,2.158816119,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
stable-diffusion,066-1.png,2.644674524,2.870229264,2.530064911,"""the word 'START'"""
stable-diffusion,067-3.png,2.715214875,2.574177119,2.43229115,"""a yellow wall with 'Hello, world.' written on it"""
Unidiffuser,060-4.png,1.726484183,1.847093497,1.949300241,"""a cartoon of a dog saying ""I see what you did there"""""
Glide,050-1.png,2.087617248,2.140807627,1.996161497,"""A photo of a panda made of water."""
Unidiffuser,001-1.png,1.691808047,1.695367202,2.220160741,"""a girl"""
DALLE,023-1.png,2.721559107,2.626692057,2.921780952,"""a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese"""
stable-diffusion,065-4.png,2.862680164,2.895036139,2.579044691,"""Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."""
DALLE,059-2.png,2.381165177,2.607495069,2.677919862,"""Downtown Shanghai at sunrise. detailed ink wash."""
DALLE,065-3.png,2.864865895,2.893476931,2.35957692,"""Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."""
DALLE,010-1.png,3.201209337,2.896116236,3.343447087,"""A giraffe walking through a green grass covered field"""
Glide,084-3.png,2.063531371,2.028846441,2.055496814,"""a cross-section view of a walnut"""
Unidiffuser,014-3.png,2.952826055,2.804599688,2.349027155,"""a pumpkin with a candle in it"""
Unidiffuser,028-1.png,2.912922207,2.800087617,2.84654844,"""Snow mountain and tree reflection in the lake"""
Controlnet,051-4.png,2.780979562,2.470564998,2.652713203,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Lafite,010-2.png,1.853191547,1.784431559,2.230069839,"""A giraffe walking through a green grass covered field"""
Glide,072-4.png,1.9278577,2.562582474,2.445244915,"""two motorcycles facing each other"""
Controlnet,002-1.png,3.137764849,3.035218557,3.094435822,"""a boat"""
Controlnet,072-2.png,2.92849092,2.490454911,2.154180439,"""two motorcycles facing each other"""
DALLE,063-1.png,3.140349984,3.035505862,2.623202113,"""A sign that says Deep Learning"""
Unidiffuser,059-1.png,1.736133384,1.876697786,1.875672162,"""Downtown Shanghai at sunrise. detailed ink wash."""
Unidiffuser,032-1.png,2.573218526,2.762808998,2.980369072,"""a large white yacht in a calm bay on a sunny day"""
Glide,066-1.png,1.9438658,1.946378764,2.14379024,"""the word 'START'"""
stable-diffusion,054-2.png,3.157896925,3.124406905,2.587571928,"""A photo of a lotus flower made of water. """
Controlnet,056-1.png,2.445949851,2.275639686,2.419669472,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
Lafite,019-1.png,2.001089499,2.200365163,2.270924562,"""a boat in the canals of venice"""
Unidiffuser,080-2.png,2.363939894,1.890241443,2.390165122,"""view of a giraffe and a zebra in the middle of a field"""
DALLE,088-3.png,3.215062523,3.042844629,3.208871998,"""an aerial photo of a sandy island in the ocean"""
stable-diffusion,044-2.png,3.257885324,3.239578864,3.363580627,"""an orange wearing a cowboy hat"""
Lafite,005-2.png,1.995755269,2.096417795,2.022664139,"""a green pepper"""
Unidiffuser,030-4.png,2.265291664,2.110520115,1.949844636,"""a dolphin in an astronaut suit on saturn"""
DALLE,098-3.png,3.136366811,3.287304421,3.023597916,"""a street without vehicles"""
Lafite,025-1.png,2.060993017,2.083669724,1.990546044,"""a pineapple with one beer to its left and two beers on its right"""
Glide,089-3.png,2.012724703,2.414014397,2.411576613,"""an aerial view of the Great Wall"""
Unidiffuser,010-3.png,2.029116775,2.472577191,2.61065747,"""A giraffe walking through a green grass covered field"""
Lafite,082-3.png,1.692922601,1.971751493,1.69496332,"""an overhead view of a pickup truck with boxes in its flatbed"""
Unidiffuser,041-3.png,2.89021093,2.658900785,2.700468966,"""A photo of an astronaut riding a horse in the forest."""
Controlnet,087-3.png,2.923122047,2.567095443,2.810848546,"""an aerial view of a dining room"""
Unidiffuser,081-1.png,1.75472941,1.953785223,2.460857583,"""two people facing each other"""
stable-diffusion,005-2.png,3.234489072,3.091508645,3.347595891,"""a green pepper"""
DALLE,059-1.png,2.55741206,2.506088313,2.655173417,"""Downtown Shanghai at sunrise. detailed ink wash."""
stable-diffusion,058-1.png,2.688869103,2.52407256,2.878350062,"""a painting of a white country home with a wrap-around porch"""
DALLE,005-4.png,2.938713343,2.913622368,3.064592116,"""a green pepper"""
stable-diffusion,091-3.png,2.616201358,3.018241567,2.899519235,"""a classroom without any students"""
Unidiffuser,014-4.png,2.873124368,2.755468068,2.525023136,"""a pumpkin with a candle in it"""
stable-diffusion,089-3.png,3.079749939,3.142413308,3.020784077,"""an aerial view of the Great Wall"""
