Image_prompt,Text_prompt,Generated_image,MOS_q,MOS_a,MOS_c,MOS
,there is a wolf standing in the grass with a wolf behind him,SD_1022_01.jpg,1.854,1.8775,2.502,6.2335
,there is a wolf standing in the grass with a wolf behind him,SD_1022_10.jpg,2.7167,2.5775,3.0033,8.2975
,there is a wolf standing in the grass with a wolf behind him,SD_1022_11.jpg,2.575,2.2733,2.972,7.8203
,"fox, standing in the grass and flowers",SD_1023_00.jpg,2.195,2.02,3.795,8.01
,"fox, standing in the grass and flowers",SD_1023_01.jpg,2.2386,1.6586,3.018,6.9152
,"fox, standing in the grass and flowers",SD_1023_10.jpg,1.1733,0.945,2.3533,4.4716
,"fox, standing in the grass and flowers",SD_1023_11.jpg,2.0489,1.5044,3.5167,7.07
,there is a fat grey cat sitting on a wooden deck looking up,SD_1024_00.jpg,3.1043,3.15,3.2471,9.5014
,there is a fat grey cat sitting on a wooden deck looking up,SD_1024_01.jpg,2.7733,2.5575,3.105,8.4358
,there is a fat grey cat sitting on a wooden deck looking up,SD_1024_10.jpg,2.095,1.6943,3.22,7.0093
,there is a fat grey cat sitting on a wooden deck looking up,SD_1024_11.jpg,2.9425,2.676,2.92,8.5385
,there is a watering can with a hose attached to it,SD_1025_00.jpg,2.17,1.4788,3.2175,6.8663
,there is a watering can with a hose attached to it,SD_1025_01.jpg,1.9727,1.5433,2.486,6.002
,there is a watering can with a hose attached to it,SD_1025_10.jpg,2.072,1.2462,2.4267,5.7449
,there is a watering can with a hose attached to it,SD_1025_11.jpg,2.1138,1.2267,2.468,5.8085
,"angry, black cat with yellow eyes laying on the ground",SD_1026_00.jpg,1.62,1.0533,2.695,5.3683
,"angry, black cat with yellow eyes laying on the ground",SD_1026_01.jpg,1.1656,0.813,2.225,4.2036
,"angry, black cat with yellow eyes laying on the ground",SD_1026_10.jpg,1.5014,1.2829,2.6083,5.3926
,"angry, black cat with yellow eyes laying on the ground",SD_1026_11.jpg,1.618,1.2512,2.4175,5.2867
,the sphinx cat,SD_1027_00.jpg,0.9713,0.8643,1.6529,3.4885
,the sphinx cat,SD_1027_01.jpg,1.0438,0.7429,1.4583,3.245
,the sphinx cat,SD_1027_10.jpg,1.005,0.785,1.255,3.045
,the sphinx cat,SD_1027_11.jpg,1.6783,1.294,1.99,4.9623
,there is a black bear sitting on a tree stump in the woods,SD_1028_00.jpg,1.692,1.3,2.8667,5.8587
,there is a black bear sitting on a tree stump in the woods,SD_1028_01.jpg,1.9114,1.6186,2.7817,6.3117
,there is a black bear sitting on a tree stump in the woods,SD_1028_10.jpg,2.0888,1.895,2.5957,6.5795
,there is a black bear sitting on a tree stump in the woods,SD_1028_11.jpg,1.9329,1.7825,3.2657,6.9811
,"brown bear, standing on a rock in a river",SD_1029_00.jpg,2.33,1.8871,3.504,7.7211
,"brown bear, standing on a rock in a river",SD_1029_01.jpg,1.788,1.5511,3.1171,6.4562
,"brown bear, standing on a rock in a river",SD_1029_10.jpg,1.7614,1.176,2.888,5.8254
,"brown bear, standing on a rock in a river",SD_1029_11.jpg,2.5643,2.9883,3.2378,8.7904
,leopard resting on a tree branch in the wild,SD_1030_00.jpg,2.355,1.986,3.2471,7.5881
,leopard resting on a tree branch in the wild,SD_1030_01.jpg,1.7433,0.681,2.3525,4.7768
,leopard resting on a tree branch in the wild,SD_1030_10.jpg,2.248,1.9117,3.0133,7.173
,leopard resting on a tree branch in the wild,SD_1030_11.jpg,2.634,2.53,3.2986,8.4626
,snow leopard walking in the snow in a forest with trees,SD_1031_00.jpg,1.836,1.03,3.015,5.881
,snow leopard walking in the snow in a forest with trees,SD_1031_01.jpg,2.07,2.0371,2.095,6.2021
,snow leopard walking in the snow in a forest with trees,SD_1031_10.jpg,1.8175,2.3688,1.38,5.5663
,snow leopard walking in the snow in a forest with trees,SD_1031_11.jpg,2.57,2.055,2.6025,7.2275
,face of an lion with its mouth open,SD_1032_00.jpg,2.6233,2.118,3.1386,7.8799
,face of an lion with its mouth open,SD_1032_01.jpg,2.2425,1.6633,2.7888,6.6946
,face of an lion with its mouth open,SD_1032_10.jpg,2.52,2.1525,3.1671,7.8396
,face of an lion with its mouth open,SD_1032_11.jpg,2.812,2.1543,3.432,8.3983
,a tiger walking in the snow with its mouth open,SD_1033_00.jpg,2.032,1.7283,3.3533,7.1136
,a tiger walking in the snow with its mouth open,SD_1033_01.jpg,1.8375,1.682,3.334,6.8535
,a tiger walking in the snow with its mouth open,SD_1033_10.jpg,2.1943,1.7425,2.8933,6.8301
,a tiger walking in the snow with its mouth open,SD_1033_11.jpg,2.482,2.3929,3.0256,7.9005
,there is a grasshopper that is sitting on a branch,SD_1034_00.jpg,2.0171,1.9983,2.83,6.8454
,there is a grasshopper that is sitting on a branch,SD_1034_01.jpg,2.38,1.73,3.0686,7.1786
,there is a grasshopper that is sitting on a branch,SD_1034_10.jpg,2.23,1.525,2.78,6.535
,there is a grasshopper that is sitting on a branch,SD_1034_11.jpg,1.616,0.908,2.2714,4.7954
,a dragonfly perched on a twig,SD_1035_00.jpg,2.6467,2.6683,3.5275,8.8425
,a dragonfly perched on a twig,SD_1035_01.jpg,2.3925,2.1333,3.1,7.6258
,a dragonfly perched on a twig,SD_1035_10.jpg,2.102,1.662,2.99,6.754
,a dragonfly perched on a twig,SD_1035_11.jpg,3.4943,2.7667,3.454,9.715
,a bee flying towards a sunflower with a yellow background,SD_1036_00.jpg,2.0425,1.5933,2.1833,5.8191
,a bee flying towards a sunflower with a yellow background,SD_1036_01.jpg,2.04,1.7075,2.9286,6.6761
,a bee flying towards a sunflower with a yellow background,SD_1036_10.jpg,2.78,2.095,2.7943,7.6693
,a bee flying towards a sunflower with a yellow background,SD_1036_11.jpg,3.0875,3.01,3.21,9.3075
,there is a butterfly that is sitting on a flower,SD_1037_00.jpg,2.6143,2.1675,3.2743,8.0561
,there is a butterfly that is sitting on a flower,SD_1037_01.jpg,2.4088,2.5957,3.14,8.1445
,there is a butterfly that is sitting on a flower,SD_1037_10.jpg,2.9183,2.5467,3.62,9.085
,there is a butterfly that is sitting on a flower,SD_1037_11.jpg,2.855,2.554,2.794,8.203
,there is a large green mantis that is sitting on a branch,SD_1038_00.jpg,2.3486,1.9433,2.72,7.0119
,there is a large green mantis that is sitting on a branch,SD_1038_01.jpg,1.38,0.812,2.5225,4.7145
,there is a large green mantis that is sitting on a branch,SD_1038_10.jpg,1.3437,0.928,2.3,4.5717
,there is a large green mantis that is sitting on a branch,SD_1038_11.jpg,1.8,1.7583,2.7171,6.2754
,"rabbit, sitting in the grass",SD_1039_00.jpg,3.028,2.57,3.1833,8.7813
,"rabbit, sitting in the grass",SD_1039_01.jpg,3.292,3.048,3.8483,10.1883
,"rabbit, sitting in the grass",SD_1039_10.jpg,3.0925,2.5575,3.59,9.24
,"rabbit, sitting in the grass",SD_1039_11.jpg,2.945,2.5,3.476,8.921
,there is a small white and brown hamster sitting in a pile of wood chips,SD_1040_00.jpg,2.72,2.606,3.278,8.604
,there is a small white and brown hamster sitting in a pile of wood chips,SD_1040_01.jpg,2.926,2.6933,3.45,9.0693
,there is a small white and brown hamster sitting in a pile of wood chips,SD_1040_10.jpg,2.6986,2.4086,3.0944,8.2016
,there is a small white and brown hamster sitting in a pile of wood chips,SD_1040_11.jpg,2.736,2.1843,3.3186,8.2389
,"marmot, eating a carrot in the grass",SD_1041_00.jpg,3.0075,2.78,3.325,9.1125
,"marmot, eating a carrot in the grass",SD_1041_01.jpg,3.222,2.2567,2.99,8.4687
,"marmot, eating a carrot in the grass",SD_1041_10.jpg,3.1333,2.55,2.8571,8.5404
,"marmot, eating a carrot in the grass",SD_1041_11.jpg,3.15,2.8633,3.5614,9.5747
,"squirrel, walking on a fence",SD_1042_00.jpg,2.4267,2.1183,3.3825,7.9275
,"squirrel, walking on a fence",SD_1042_01.jpg,1.4789,1.5,1.4625,4.4414
,"squirrel, walking on a fence",SD_1042_10.jpg,2.5014,2.87,3.072,8.4434
,"squirrel, walking on a fence",SD_1042_11.jpg,2.764,2.1867,2.3325,7.2832
,two small brown and white guineapigs are laying in the grass,SD_1043_00.jpg,2.82,2.55,2.4714,7.8414
,two small brown and white guineapigs are laying in the grass,SD_1043_01.jpg,3.09,1.91,3.296,8.296
,two small brown and white guineapigs are laying in the grass,SD_1043_10.jpg,1.868,1.9675,2.63,6.4655
,two small brown and white guineapigs are laying in the grass,SD_1043_11.jpg,2.48,1.9971,2.49,6.9671
,"brown horse, running in a field of grass",SD_1044_00.jpg,2.0386,1.89,3.48,7.4086
,"brown horse, running in a field of grass",SD_1044_01.jpg,2.0271,1.7275,3.4467,7.2013
,"brown horse, running in a field of grass",SD_1044_10.jpg,1.586,1.25,3.486,6.322
,"brown horse, running in a field of grass",SD_1044_11.jpg,1.9867,1.296,2.912,6.1947
,zebra standing in a field of grass with trees in the background,SD_1045_00.jpg,1.352,0.9589,2.4283,4.7392
,zebra standing in a field of grass with trees in the background,SD_1045_01.jpg,1.6978,1.3643,3.07,6.1321
,zebra standing in a field of grass with trees in the background,SD_1045_10.jpg,1.976,1.6033,3.1862,6.7655
,zebra standing in a field of grass with trees in the background,SD_1045_11.jpg,1.6633,1.19,3.0767,5.93
,"two hippos, standing next to each other on the grass",SD_1046_00.jpg,1.1633,0.8662,3.075,5.1045
,"two hippos, standing next to each other on the grass",SD_1046_01.jpg,1.392,0.9982,2.7433,5.1335
,"two hippos, standing next to each other on the grass",SD_1046_10.jpg,1.19,0.5643,2.73,4.4843
,"two hippos, standing next to each other on the grass",SD_1046_11.jpg,1.61,1.1538,2.9683,5.7321
,airplane landing on a runway with smoke coming out of the back,SD_1047_00.jpg,2.4275,2.06,3.0871,7.5746
,airplane landing on a runway with smoke coming out of the back,SD_1047_01.jpg,2.248,1.4389,3.425,7.1119
,airplane landing on a runway with smoke coming out of the back,SD_1047_10.jpg,2.2825,1.82,2.8743,6.9768
,airplane landing on a runway with smoke coming out of the back,SD_1047_11.jpg,2.535,1.8867,3.264,7.6857
,there is a armadile that is walking in the grass,SD_1048_00.jpg,2.1283,1.0917,2.82,6.04
,there is a armadile that is walking in the grass,SD_1048_01.jpg,2.2513,1.625,2.912,6.7883
,there is a armadile that is walking in the grass,SD_1048_10.jpg,1.6838,1.1722,2.3217,5.1777
,there is a armadile that is walking in the grass,SD_1048_11.jpg,1.688,1.0289,2.235,4.9519
,"camel, walking on the road in the desert with a blue sky",SD_1049_00.jpg,1.648,1.708,1.7925,5.1485
,"camel, walking on the road in the desert with a blue sky",SD_1049_01.jpg,2.735,2.3475,3.664,8.7465
,"camel, walking on the road in the desert with a blue sky",SD_1049_10.jpg,2.9925,2.8557,3.3829,9.2311
,"camel, walking on the road in the desert with a blue sky",SD_1049_11.jpg,1.8837,1.5411,3.3825,6.8073
,girl in a pink dress and hat sitting on a bench reading a book,SD_1050_00.jpg,2.37,2.174,3.5433,8.0873
,girl in a pink dress and hat sitting on a bench reading a book,SD_1050_01.jpg,2.5767,2.8988,3.3211,8.7966
,girl in a pink dress and hat sitting on a bench reading a book,SD_1050_10.jpg,1.7217,1.33,2.7043,5.756
,girl in a pink dress and hat sitting on a bench reading a book,SD_1050_11.jpg,1.998,1.67,2.32,5.988
,"cow, standing in a field of tall grass",SD_1051_00.jpg,2.5089,2.1233,3.7457,8.3779
,"cow, standing in a field of tall grass",SD_1051_01.jpg,2.014,1.78,3.6175,7.4115
,"cow, standing in a field of tall grass",SD_1051_10.jpg,2.2667,2.02,3.345,7.6317
,"cow, standing in a field of tall grass",SD_1051_11.jpg,2.312,2.038,3.5783,7.9283
,"a gorilla with a very strong body, black background",SD_1052_00.jpg,2.62,2.35,2.3533,7.3233
,"a gorilla with a very strong body, black background",SD_1052_01.jpg,2.37,1.794,3.1983,7.3623
,"a gorilla with a very strong body, black background",SD_1052_10.jpg,2.3,1.9,2.296,6.496
,"a gorilla with a very strong body, black background",SD_1052_11.jpg,2.4671,1.87,3.02,7.3571
,sheep with large horns standing in a grassy field,SD_1053_00.jpg,2.86,2.9817,2.7938,8.6355
,sheep with large horns standing in a grassy field,SD_1053_01.jpg,1.854,1.62,2.7762,6.2502
,sheep with large horns standing in a grassy field,SD_1053_10.jpg,2.02,2.0267,3.09,7.1367
,sheep with large horns standing in a grassy field,SD_1053_11.jpg,2.0257,1.6667,2.39,6.0824
,"a brown antelope with long horns, standing in a field",SD_1054_00.jpg,2.102,1.9188,3.5925,7.6133
,"a brown antelope with long horns, standing in a field",SD_1054_01.jpg,1.6338,1.0786,2.8014,5.5138
,"a brown antelope with long horns, standing in a field",SD_1054_10.jpg,2.322,1.615,2.9475,6.8845
,"a brown antelope with long horns, standing in a field",SD_1054_11.jpg,2.08,1.5671,2.912,6.5591
,a bicycle parked on a dirt road in the forest,SD_1055_00.jpg,2.825,2.665,3.7911,9.2811
,a bicycle parked on a dirt road in the forest,SD_1055_01.jpg,3.2114,3.3425,3.8978,10.4517
,a bicycle parked on a dirt road in the forest,SD_1055_10.jpg,2.2271,2.116,2.5733,6.9164
,a bicycle parked on a dirt road in the forest,SD_1055_11.jpg,2.315,2.3433,3.2557,7.914
,a black camera sitting on top of a table next to a black wall,SD_1056_00.jpg,2.8143,2.7575,3.1629,8.7347
,a black camera sitting on top of a table next to a black wall,SD_1056_01.jpg,3.475,3.356,3.6133,10.4443
,a black camera sitting on top of a table next to a black wall,SD_1056_10.jpg,3.1483,3.01,3.3975,9.5558
,a black camera sitting on top of a table next to a black wall,SD_1056_11.jpg,3.0657,2.875,3.4433,9.384
,there is a red christmas stocking with candy wrapped in it,SD_1057_00.jpg,2.36,2.5,2.55,7.41
,there is a red christmas stocking with candy wrapped in it,SD_1057_01.jpg,2.3783,1.9467,2.9025,7.2275
,there is a red christmas stocking with candy wrapped in it,SD_1057_10.jpg,2.3843,2.4133,2.8671,7.6647
,there is a red christmas stocking with candy wrapped in it,SD_1057_11.jpg,2.2275,2.1725,2.9667,7.3667
,there is a cup of coffee on a saucer on a table,SD_1058_00.jpg,3.0743,2.7829,3.3867,9.2439
,there is a cup of coffee on a saucer on a table,SD_1058_01.jpg,2.508,2.202,3.2875,7.9975
,there is a cup of coffee on a saucer on a table,SD_1058_10.jpg,2.852,2.17,3.596,8.618
,there is a cup of coffee on a saucer on a table,SD_1058_11.jpg,2.7933,3.215,3.1163,9.1246
,"laptop computer, sitting on top of a white desk",SD_1059_00.jpg,2.1237,1.8671,2.8212,6.812
,"laptop computer, sitting on top of a white desk",SD_1059_01.jpg,2.535,2.18,2.83,7.545
,"laptop computer, sitting on top of a white desk",SD_1059_10.jpg,2.628,2.17,3.75,8.548
,"laptop computer, sitting on top of a white desk",SD_1059_11.jpg,2.575,2.4167,3.7457,8.7374
,there is a white owl lamp on a table next to a white vase,SD_1060_00.jpg,3.016,3.138,2.7833,8.9373
,there is a white owl lamp on a table next to a white vase,SD_1060_01.jpg,2.5,2.155,2.9722,7.6272
,there is a white owl lamp on a table next to a white vase,SD_1060_10.jpg,2.4686,2.48,2.6056,7.5542
,there is a white owl lamp on a table next to a white vase,SD_1060_11.jpg,2.21,2.0717,2.0171,6.2988
,"piano, sitting on a wooden floor",SD_1061_00.jpg,2.454,2.44,3.0467,7.9407
,"piano, sitting on a wooden floor",SD_1061_01.jpg,2.61,2.665,2.8933,8.1683
,"piano, sitting on a wooden floor",SD_1061_10.jpg,2.8938,2.632,2.926,8.4518
,"piano, sitting on a wooden floor",SD_1061_11.jpg,2.86,2.535,3.27,8.665
,"Jack o'Lantern, sitting on a floor near a window, scary color",SD_1062_00.jpg,3.0633,2.645,2.998,8.7063
,"Jack o'Lantern, sitting on a floor near a window, scary color",SD_1062_01.jpg,3.21,2.7329,3.4936,9.4365
,"Jack o'Lantern, sitting on a floor near a window, scary color",SD_1062_10.jpg,3.0214,3.0983,3.8075,9.9272
,"Jack o'Lantern, sitting on a floor near a window, scary color",SD_1062_11.jpg,3.2933,2.966,3.495,9.7543
,there are two spoons hanging from a hook on a wall,SD_1063_00.jpg,2.735,2.5,3.1186,8.3536
,there are two spoons hanging from a hook on a wall,SD_1063_01.jpg,2.9517,2.6929,2.6786,8.3232
,there are two spoons hanging from a hook on a wall,SD_1063_10.jpg,2.5112,1.96,2.604,7.0752
,there are two spoons hanging from a hook on a wall,SD_1063_11.jpg,2.4383,2.045,2.644,7.1273
,there is a mailbox on a brick wall with a green door,SD_1064_00.jpg,2.536,1.985,2.885,7.406
,there is a mailbox on a brick wall with a green door,SD_1064_01.jpg,2.2862,2.67,3.5156,8.4718
,there is a mailbox on a brick wall with a green door,SD_1064_10.jpg,3.144,2.6457,3.7933,9.583
,there is a mailbox on a brick wall with a green door,SD_1064_11.jpg,3,2.8267,3.11,8.9367
,a red lipstick with a black background,SD_1065_00.jpg,1.3443,0.6755,1.421,3.4408
,a red lipstick with a black background,SD_1065_01.jpg,1.926,1.044,1.99,4.96
,a red lipstick with a black background,SD_1065_10.jpg,2.313,1.81,1.7329,5.8559
,a red lipstick with a black background,SD_1065_11.jpg,2.0886,1.3843,2.22,5.6929
,book with a magnifying glass on top of it,SD_1066_00.jpg,2.1114,2.192,2.1543,6.4577
,book with a magnifying glass on top of it,SD_1066_01.jpg,2.3914,1.9129,3.1537,7.458
,book with a magnifying glass on top of it,SD_1066_10.jpg,2.4943,1.712,2.5144,6.7207
,book with a magnifying glass on top of it,SD_1066_11.jpg,2.12,1.8686,3.2333,7.2219
,there is a yellow chair sitting in front of a desk,SD_1067_00.jpg,2.306,2.072,2.4014,6.7794
,there is a yellow chair sitting in front of a desk,SD_1067_01.jpg,2.9429,2.795,3.88,9.6179
,there is a yellow chair sitting in front of a desk,SD_1067_10.jpg,2.616,2.3943,3.072,8.0823
,there is a yellow chair sitting in front of a desk,SD_1067_11.jpg,2.14,1.7757,3.2067,7.1224
,yellow cabs and taxis are parked in a busy city street,SD_1068_00.jpg,2.7188,2.1567,3.6414,8.5169
,yellow cabs and taxis are parked in a busy city street,SD_1068_01.jpg,3.53,3.44,3.942,10.912
,yellow cabs and taxis are parked in a busy city street,SD_1068_10.jpg,3.064,2.1333,3.47,8.6673
,yellow cabs and taxis are parked in a busy city street,SD_1068_11.jpg,2.822,2.72,3.458,9
,tent on a grassy hill with a view of the mountains,SD_1069_00.jpg,2.5175,2.28,3.365,8.1625
,tent on a grassy hill with a view of the mountains,SD_1069_01.jpg,3.22,2.8633,3.94,10.0233
,tent on a grassy hill with a view of the mountains,SD_1069_10.jpg,3.1233,3.3317,3.9,10.355
,tent on a grassy hill with a view of the mountains,SD_1069_11.jpg,2.5617,2.544,3.188,8.2937
,there is a bowl of fruit that is sitting on a table,SD_1070_00.jpg,2.755,2.725,2.896,8.376
,there is a bowl of fruit that is sitting on a table,SD_1070_01.jpg,3.12,3.2783,3.8467,10.245
,there is a bowl of fruit that is sitting on a table,SD_1070_10.jpg,3.2433,2.725,3.5917,9.56
,there is a bowl of fruit that is sitting on a table,SD_1070_11.jpg,3.31,3.378,3.4725,10.1605
,there is a large book shelf with many books on it,SD_1071_00.jpg,2.984,3.0786,3.5871,9.6497
,there is a large book shelf with many books on it,SD_1071_01.jpg,2.5967,2.45,3.741,8.7877
,there is a large book shelf with many books on it,SD_1071_10.jpg,2.8662,3.1133,3.614,9.5935
,there is a large book shelf with many books on it,SD_1071_11.jpg,3.1,2.955,3.865,9.92
